dataProcessDependencyId,dataProcess,sourceObjectSchema,sourceObjectName,destinationObjectSchema,destinationObjectName,isEnabled,isTestPromoteEnvironment,isProdPromoteEnvironment
977,gold,project_management,dim_bid_package,project_management,fact_bid_package,1,1,1
978,gold,project_management,dim_bid_package,project_management,fact_bid_package_milestone,1,1,1
979,gold,project_management,dim_bid_package_milestone,project_management,fact_bid_package_milestone,1,1,1
980,gold,project_management,dim_contract,project_management,fact_bid_package,1,1,1
760,gold,project_management,dim_cost_item,project_management_v,fact_current_project_forecast_detail_v,NULL,1,1
761,gold,project_management,dim_cost_item,project_management,fact_current_plan_detail,NULL,1,1
762,gold,project_management,fact_actuals,project_management_v,fact_current_plan_actuals_detail_v,NULL,1,1
763,gold,project_management,fact_actuals,project_management_v,fact_current_plan_actuals_summary_v,NULL,1,1
764,gold,project_management,fact_current_plan_detail,project_management,fact_current_plan_summary,NULL,1,1
765,gold,project_management,fact_current_plan_summary,project_management_v,fact_current_plan_actuals_detail_v,NULL,1,1
766,gold,project_management,fact_current_plan_summary,project_management_v,fact_current_plan_actuals_summary_v,NULL,1,1
767,gold,project_management,fact_current_project_forecast,project_management_v,fact_current_project_forecast_detail_v,NULL,1,1
768,gold,project_management,fact_quantity_claim,project_management,fact_current_plan_detail,NULL,1,1
769,gold,project_management,fact_time_card,project_management,fact_current_plan_detail,NULL,1,1
981,gold,project_management,dim_contract,project_management,fact_contract_closeout,1,1,1
982,gold,project_management,dim_contract,project_management,fact_contract_line,1,1,1
983,gold,project_management,dim_contract,project_management,fact_invoice_payment,1,1,1
984,gold,project_management,dim_contract,project_management,ref_bid_package_document,1,1,1
985,gold,project_management,dim_contract,project_management,ref_contract_document,1,1,1
986,gold,project_management,dim_contract_closeout_status,project_management,fact_contract_closeout,1,1,1
987,gold,project_management,dim_contract_closeout_type,project_management,fact_contract_closeout,1,1,1
988,gold,project_management,dim_contract_detail_type,project_management,fact_contract_line,1,1,1
989,gold,project_management,dim_contract_line,project_management,fact_contract_claim_history,1,1,1
990,gold,project_management,dim_contract_line,project_management,fact_contract_line,1,1,1
991,gold,project_management,dim_contract_line,project_management,fact_contract_schedule_of_values,1,1,1
992,gold,project_management,dim_contract_line,project_management,fact_contract_vco_line,1,1,1
993,gold,project_management,dim_contract_line,project_management,fact_invoice_line,1,1,1
994,gold,project_management,dim_contract_line,project_management_v,rpt_contract_line_exception_v,1,1,1
995,gold,project_management,dim_contract_line,project_management_v,rpt_contract_original_exception_v,1,1,1
996,gold,project_management,dim_contract_responsibility,project_management,fact_contract_line,1,1,1
997,gold,project_management,dim_contract_schedule_of_values,project_management,fact_contract_claim_history,1,1,1
998,gold,project_management,dim_contract_schedule_of_values,project_management,fact_contract_schedule_of_values,1,1,1
999,gold,project_management,dim_contract_term,project_management,fact_contract_line,1,1,1
1000,gold,project_management,dim_contract_type_hierarchy,project_management,fact_contract_line,1,1,1
1001,gold,project_management,dim_contract_vco,project_management,fact_contract_vco_line,1,1,1
1002,gold,project_management,dim_contract_vco,project_management,ref_contract_document,1,1,1
1003,gold,project_management,dim_cost_item,project_management,bridge_bid_package_cost_item,1,1,1
1004,gold,project_management,dim_cost_item,project_management,fact_contract_line,1,1,1
1005,gold,project_management,dim_cost_item,project_management,fact_contract_schedule_of_values,1,1,1
1006,gold,project_management,dim_cost_item,project_management,fact_contract_vco_line,1,1,1
1007,gold,project_management,dim_cost_item,project_management_v,rpt_contract_line_exception_v,1,1,1
1008,gold,project_management,dim_discipline,project_management,fact_bid_package,1,1,1
1009,gold,project_management,dim_discipline,project_management,fact_contract_line,1,1,1
1010,gold,project_management,dim_invoice,project_management,fact_invoice_line,1,1,1
1011,gold,project_management,dim_invoice,project_management,fact_invoice_payment,1,1,1
1012,gold,project_management,dim_invoice_payment_method,project_management,fact_invoice_payment,1,1,1
1013,gold,project_management,dim_risk_mitigation_plan,project_management,fact_bid_package,1,1,1
1014,gold,project_management,dim_unit_of_measure,project_management,fact_contract_line,1,1,1
1015,gold,project_management,dim_unit_of_measure,project_management,fact_contract_schedule_of_values,1,1,1
1016,gold,project_management,fact_bid_package,project_management,bridge_bid_package_cost_item,1,1,1
1017,gold,project_management,fact_contract_closeout,project_management,bridge_contract_closeout_user,1,1,1
1018,gold,project_management,fact_contract_line,project_management_v,rpt_contract_line_exception_v,1,1,1
1019,gold,project_management,fact_contract_line,project_management_v,rpt_contract_original_exception_v,1,1,1
1020,gold,project_management,fact_contract_vco_line,project_management_v,rpt_contract_line_exception_v,1,1,1
1021,gold,project_management,dim_user,project_management,bridge_contract_closeout_user,1,1,1
770,gold,NULL,NULL,operation_financials,scanman_workbench,NULL,1,1
771,gold,NULL,NULL,operation_financials,statement_of_operations_report_aa,NULL,1,1
772,gold,NULL,NULL,operation_financials,statement_of_operations_report_ba,NULL,1,1
1027,gold,NULL,NULL,ineight_document,dim_submittals_core,1,1,1
1028,gold,NULL,NULL,ineight_document,fact_submittals_core,1,1,1
1029,gold,NULL,NULL,ineight_document,fact_submittal_links,1,1,1
1030,gold,NULL,NULL,ineight_document,fact_submittal_milestone,1,1,1
1031,gold,conformed,dim_project,ineight_document,fact_submittal_links,1,1,1
1032,gold,conformed,dim_project,ineight_document,fact_submittal_milestone,1,1,1
1033,gold,conformed,dim_project,ineight_document,fact_submittals_core,1,1,1
1034,gold,ineight_document,dim_form,ineight_document,fact_submittals_core,1,1,1
1035,gold,ineight_document,dim_submittals_core,ineight_document,fact_submittal_links,1,1,1
1036,gold,ineight_document,dim_submittals_core,ineight_document,fact_submittal_milestone,1,1,1
1037,gold,ineight_document,dim_submittals_core,ineight_document,fact_submittals_core,1,1,1
1038,gold,ineight_document,dim_form,ineight_document,fact_submittal_links,1,1,1
1040,gold,NULL,NULL,operation_financials,scanman_audittrail,NULL,1,1
1041,gold,NULL,NULL,operation_financials,account_actuals_ledger,1,1,1
1042,gold,NULL,NULL,tradetapp,subcontractor_qualification,NULL,1,1
1043,gold,NULL,NULL,project_management,fact_actuals_lod_9,1,1,1
